drug_node_id,drug_id,drug_name,relation,context_group,context_node_id,context_id,context_name,context_source
7170,DB03455,(1H-indol-3-yl)-(2-mercapto-ethoxyimino)-acetic acid,target,gene/protein,698,3558,IL2,NCBI
8104,DB07821,"(1R)-1,2,2-trimethylpropyl (R)-methylphosphinate",target,gene/protein,1590,1066,CES1,NCBI
8104,DB07821,"(1R)-1,2,2-trimethylpropyl (R)-methylphosphinate",target,gene/protein,1457,5050,PAFAH1B3,NCBI
8104,DB07821,"(1R)-1,2,2-trimethylpropyl (R)-methylphosphinate",target,gene/protein,11601,7941,PLA2G7,NCBI
7526,DB07772,"(1R)-1-{[(4'-methoxy-1,1'-biphenyl-4-yl)sulfonyl]amino}-2-methylpropylphosphonic acid",target,gene/protein,2631,4317,MMP8,NCBI
7767,DB08195,(1R)-2-[(CYANOMETHYL)AMINO]-1-({[2-(DIFLUOROMETHOXY)BENZYL]SULFONYL}METHYL)-2-OXOETHYL MORPHOLINE-4-CARBOXYLATE,target,gene/protein,796,1520,CTSS,NCBI
7148,DB07023,"(1R)-2-[(Diaminomethylene)amino]-1-{4-[(4R)-4-(hydroxymethyl)-1,3,2-dioxaborolan-2-yl]phenyl}ethyl nicotinate",target,gene/protein,1180,2160,F11,NCBI
6751,DB08129,(1R)-2-amino-1-[3-(trifluoromethyl)phenyl]ethanol,target,gene/protein,2088,5409,PNMT,NCBI
8508,DB08170,"(1R)-N,6-DIHYDROXY-7-METHOXY-2-[(4-METHOXYPHENYL)SULFONYL]-1,2,3,4-TETRAHYDROISOQUINOLINE-1-CARBOXAMIDE",target,gene/protein,1231,4316,MMP7,NCBI
7997,DB08200,(1R)-menthyl hexyl phosphonate group,target,gene/protein,93,590,BCHE,NCBI
8371,DB08287,"(1R,2R)-N-(2-Aminoethyl)-2-{[(4-methoxyphenyl)sulfonyl]methyl}cyclohexanecarboxamide",target,gene/protein,1103,1513,CTSK,NCBI
8441,DB06984,"(1R,2R,3R,4S,5R)-4-(BENZYLAMINO)-5-(METHYLTHIO)CYCLOPENTANE-1,2,3-TRIOL",target,gene/protein,2513,4124,MAN2A1,NCBI
8884,DB02028,"(1R,2R,3S,4R,6S)-3,4,6-Trihydroxy-5-{[(S)-hydroxy(3-hydroxy-2-oxopropoxy)phosphoryl]oxy}-1,2-cyclohexanediyl bis[dihydrogen (phosphate)]",target,gene/protein,2759,7275,TUB,NCBI
7836,DB02665,"(1R,2S)-2-Phenylcyclopropanaminium",target,gene/protein,2603,5644,PRSS1,NCBI
6531,DB07530,"(1R,3R)-5-[(2E)-3-{(1S,3R)-2,2,3-trimethyl-3-[6,6,6-trifluoro-5-hydroxy-5-(trifluoromethyl)hex-3-yn-1-yl]cyclopentyl}prop-2-en-1-ylidene]cyclohexane-1,3-diol",target,gene/protein,143,8648,NCOA1,NCBI
6531,DB07530,"(1R,3R)-5-[(2E)-3-{(1S,3R)-2,2,3-trimethyl-3-[6,6,6-trifluoro-5-hydroxy-5-(trifluoromethyl)hex-3-yn-1-yl]cyclopentyl}prop-2-en-1-ylidene]cyclohexane-1,3-diol",target,gene/protein,544,7421,VDR,NCBI
5126,DB07479,"(1S)-1,2,3,4-TETRAHYDRO-BENZO[C]PHENANTHRENE-2,3,4-TRIOL",target,gene/protein,54,5423,POLB,NCBI
8583,DB07204,"(1S)-1-(1H-INDOL-3-YLMETHYL)-2-(2-PYRIDIN-4-YL-[1,7]NAPHTYRIDIN-5-YLOXY)-EHYLAMINE",target,gene/protein,2687,5569,PKIA,NCBI
8583,DB07204,"(1S)-1-(1H-INDOL-3-YLMETHYL)-2-(2-PYRIDIN-4-YL-[1,7]NAPHTYRIDIN-5-YLOXY)-EHYLAMINE",target,gene/protein,176,5566,PRKACA,NCBI
7493,DB08498,"(1S)-1-(3-chlorophenyl)-2-oxo-2-[(1,3,4-trioxo-1,2,3,4-tetrahydroisoquinolin-5-yl)amino]ethyl acetate",target,gene/protein,727,836,CASP3,NCBI
7914,DB08244,"(1S)-1-CYCLOPROPYL-2-[(2S)-4-(2,5-DIFLUOROPHENYL)-2-PHENYL-2,5-DIHYDRO-1H-PYRROL-1-YL]-2-OXOETHANAMINE",target,gene/protein,859,3832,KIF11,NCBI
7525,DB07713,"(1S)-1-{[(4'-methoxy-1,1'-biphenyl-4-yl)sulfonyl]amino}-2-methylpropylphosphonic acid",target,gene/protein,2631,4317,MMP8,NCBI
8581,DB07107,(1S)-2-(1H-INDOL-3-YL)-1-[({5-[(E)-2-PYRIDIN-4-YLVINYL]PYRIDIN-3-YL}OXY)METHYL]ETHYLAMINE,target,gene/protein,2687,5569,PKIA,NCBI
8581,DB07107,(1S)-2-(1H-INDOL-3-YL)-1-[({5-[(E)-2-PYRIDIN-4-YLVINYL]PYRIDIN-3-YL}OXY)METHYL]ETHYLAMINE,target,gene/protein,176,5566,PRKACA,NCBI
6707,DB07356,"(1S)-2-[(2S,5R)-2-(AMINOMETHYL)-5-ETHYNYLPYRROLIDIN-1-YL]-1-CYCLOPENTYL-2-OXOETHANAMINE",target,gene/protein,1499,1803,DPP4,NCBI
6690,DB06880,"(1S)-2-[(2S,5R)-2-(AMINOMETHYL)-5-PROP-1-YN-1-YLPYRROLIDIN-1-YL]-1-CYCLOPENTYL-2-OXOETHANAMINE",target,gene/protein,1499,1803,DPP4,NCBI
7492,DB08497,"(1S)-2-oxo-1-phenyl-2-[(1,3,4-trioxo-1,2,3,4-tetrahydroisoquinolin-5-yl)amino]ethyl acetate",target,gene/protein,727,836,CASP3,NCBI
7998,DB08201,(1S)-menthyl hexyl phosphonate group,target,gene/protein,93,590,BCHE,NCBI
6697,DB07072,"(1S,2R,5S)-5-[3-(TRIFLUOROMETHYL)-5,6-DIHYDRO[1,2,4]TRIAZOLO[4,3-A]PYRAZIN-7(8H)-YL]-2-(2,4,5-TRIFLUOROPHENYL)CYCLOHEXANAMINE",target,gene/protein,1499,1803,DPP4,NCBI
8806,DB04659,"(1S,2S,3R,4S,5S)-2,3,4-TRIHYDROXY-5-(HYDROXYMETHYL)CYCLOHEXYL (1E)-2-PHENYL-N-(SULFOOXY)ETHANIMIDOTHIOATE",target,gene/protein,2557,3938,LCT,NCBI
8442,DB08321,"(1S,2S,3R,6R)-4-(hydroxymethyl)-6-(octylamino)cyclohex-4-ene-1,2,3-triol",target,gene/protein,2513,4124,MAN2A1,NCBI
8193,DB07909,"(1S,2S,5S)2-(4-GLUTARIDYLBENZYL)-5-PHENYL-1-CYCLOHEXANOL",target,gene/protein,1760,3500,IGHG1,NCBI
8193,DB07909,"(1S,2S,5S)2-(4-GLUTARIDYLBENZYL)-5-PHENYL-1-CYCLOHEXANOL",target,gene/protein,1459,3514,IGKC,NCBI
5772,DB08280,"(1S,3R,4S,5S,7S)-4-{[2-(4-METHOXYPHENOXY)-2-METHYLPROPANOYL]AMINO}ADAMANTANE-1-CARBOXAMIDE",target,gene/protein,2106,3290,HSD11B1,NCBI
8557,DB07189,"(1S,3R,6S)-4-oxo-6-{4-[(2-phenylquinolin-4-yl)methoxy]phenyl}-5-azaspiro[2.4]heptane-1-carboxylic acid",target,gene/protein,987,6868,ADAM17,NCBI
6709,DB07465,"(1S,3S,5S)-2-{(2S)-2-amino-2-[(1R,3S,5R,7S)-3-hydroxytricyclo[3.3.1.1~3,7~]dec-1-yl]acetyl}-2-azabicyclo[3.1.0]hexane-3-carbonitrile",target,gene/protein,1499,1803,DPP4,NCBI
6750,DB08128,"(1S,4R,9S)-5-(trifluoromethyl)-1,2,3,4-tetrahydro-1,4-methanonaphthalen-9-amine",target,gene/protein,2088,5409,PNMT,NCBI
7560,DB07026,"(1S,5S,7R)-N~7~-(BIPHENYL-4-YLMETHYL)-N~3~-HYDROXY-6,8-DIOXA-3-AZABICYCLO[3.2.1]OCTANE-3,7-DICARBOXAMIDE",target,gene/protein,1918,4321,MMP12,NCBI
8180,DB08224,"(1S,7S,8S,8AR)-1,2,3,7,8,8A-HEXAHYDRO-7-METHYL-8-[2-[(2R,4R)-TETRAHYDRO-4-HY DROXY-6-OXO-2H-PYRAN-2-YL]ETHYL]-1-NAPHTHALENOL",target,gene/protein,1590,1066,CES1,NCBI
8012,DB08176,(1Z)-4-(4-FLUOROPHENYL)-2-METHYLIDENEBUTAN-1-IMINE,target,gene/protein,1934,4129,MAOB,NCBI
6899,DB07905,"(1aR,8S,13S,14S,15aR)-5,13,14-trihydroxy-3-methoxy-8-methyl-8,9,13,14,15,15a-hexahydro-6H-oxireno[k][2]benzoxacyclotetradecine-6,12(1aH)-dione",target,gene/protein,118,5594,MAPK1,NCBI
7401,DB02367,(1n)-4-N-Butoxyphenylsulfonyl-(2r)-N-Hydroxycarboxamido-(4s)-Methanesulfonylamino-Pyrrolidine,target,gene/protein,1815,4314,MMP3,NCBI
8490,DB07221,"(2,2-DIPHOSPHONOETHYL)(DODECYL)DIMETHYLPHOSPHONIUM",target,gene/protein,1266,9453,GGPS1,NCBI
8192,DB07883,(2-AMINO-3-PHENYL-BICYCLO[2.2.1]HEPT-2-YL)-PHENYL-METHANONE,target,gene/protein,1760,3500,IGHG1,NCBI
8567,DB07955,(2-BROMOETHYL)(2-'FORMYL-4'-AMINOPHENYL) ACETATE,target,gene/protein,1209,1990,CELA1,NCBI
8620,DB07958,(2-CARBAMOYLMETHYL-5-PROPYL-OCTAHYDRO-INDOL-7-YL)ACETIC ACID,target,gene/protein,12382,30814,PLA2G2E,NCBI
6462,DB07028,(2-{[(4-BROMO-2-FLUOROBENZYL)AMINO]CARBONYL}-5-CHLOROPHENOXY)ACETIC ACID,target,gene/protein,2511,231,AKR1B1,NCBI
8081,DB08674,"(20S)-19,20,21,22-TETRAHYDRO-19-OXO-5H-18,20-ETHANO-12,14-ETHENO-6,10-METHENO-18H-BENZ[D]IMIDAZO[4,3-K][1,6,9,12]OXATRIAZA-CYCLOOCTADECOSINE-9-CARBONITRILE",target,gene/protein,1354,2339,FNTA,NCBI
8081,DB08674,"(20S)-19,20,21,22-TETRAHYDRO-19-OXO-5H-18,20-ETHANO-12,14-ETHENO-6,10-METHENO-18H-BENZ[D]IMIDAZO[4,3-K][1,6,9,12]OXATRIAZA-CYCLOOCTADECOSINE-9-CARBONITRILE",target,gene/protein,545,2342,FNTB,NCBI
8082,DB08676,"(20S)-19,20,22,23-TETRAHYDRO-19-OXO-5H,21H-18,20-ETHANO-12,14-ETHENO-6,10-METHENOBENZ[D]IMIDAZO[4,3-L][1,6,9,13]OXATRIAZACYCLONOADECOSINE-9-CARBONITRILE",target,gene/protein,1354,2339,FNTA,NCBI
8082,DB08676,"(20S)-19,20,22,23-TETRAHYDRO-19-OXO-5H,21H-18,20-ETHANO-12,14-ETHENO-6,10-METHENOBENZ[D]IMIDAZO[4,3-L][1,6,9,13]OXATRIAZACYCLONOADECOSINE-9-CARBONITRILE",target,gene/protein,545,2342,FNTB,NCBI
6361,DB08520,"(21S)-1AZA-4,4-DIMETHYL-6,19-DIOXA-2,3,7,20-TETRAOXOBICYCLO[19.4.0] PENTACOSANE",target,gene/protein,1623,2280,FKBP1A,NCBI
8619,DB07500,(2E)-1-[2-hydroxy-4-methoxy-5-(3-methylbut-2-en-1-yl)phenyl]-3-(4-hydroxyphenyl)prop-2-en-1-one,target,gene/protein,12382,30814,PLA2G2E,NCBI
5656,DB08492,(2E)-3-(2-OCT-1-YN-1-YLPHENYL)ACRYLIC ACID,target,gene/protein,2679,246,ALOX15,NCBI
8770,DB07979,"(2E)-3-(3,4-DIHYDROXYPHENYL)-2-IMINOPROPANOIC ACID",target,gene/protein,724,1610,DAO,NCBI
7746,DB07350,(2E)-N-hydroxy-3-[1-methyl-4-(phenylacetyl)-1H-pyrrol-2-yl]prop-2-enamide,target,gene/protein,2302,55869,HDAC8,NCBI
6654,DB08564,(2E)-N-{4-[(3-bromophenyl)amino]quinazolin-6-yl}-4-(dimethylamino)but-2-enamide,target,gene/protein,331,6714,SRC,NCBI
7244,DB03583,"(2E,3S)-3-hydroxy-5'-[(4-hydroxypiperidin-1-yl)sulfonyl]-3-methyl-1,3-dihydro-2,3'-biindol-2'(1'H)-one",target,gene/protein,14,1017,CDK2,NCBI
5063,DB08175,"(2E,4E)-11-METHOXY-3,7,11-TRIMETHYLDODECA-2,4-DIENOIC ACID",target,gene/protein,1462,10499,NCOA2,NCBI
5063,DB08175,"(2E,4E)-11-METHOXY-3,7,11-TRIMETHYLDODECA-2,4-DIENOIC ACID",target,gene/protein,1644,10062,NR1H3,NCBI
5063,DB08175,"(2E,4E)-11-METHOXY-3,7,11-TRIMETHYLDODECA-2,4-DIENOIC ACID",target,gene/protein,937,6257,RXRB,NCBI
5798,DB04590,(2R)-({4-[AMINO(IMINO)METHYL]PHENYL}AMINO){5-ETHOXY-2-FLUORO-3-[(3R)-TETRAHYDROFURAN-3-YLOXY]PHENYL}ACETICACID,target,gene/protein,1173,2155,F7,NCBI
6806,DB07129,"(2R)-1-(2,6-dimethylphenoxy)propan-2-amine",target,gene/protein,1285,5328,PLAU,NCBI
7264,DB07054,(2R)-1-(DIMETHYLAMINO)-3-{4-[(6-{[2-FLUORO-5-(TRIFLUOROMETHYL)PHENYL]AMINO}PYRIMIDIN-4-YL)AMINO]PHENOXY}PROPAN-2-OL,target,gene/protein,14,1017,CDK2,NCBI
5764,DB07049,(2R)-1-[(4-tert-butylphenyl)sulfonyl]-2-methyl-4-(4-nitrophenyl)piperazine,target,gene/protein,2106,3290,HSD11B1,NCBI
8311,DB07647,"(2R)-1-[(5,6-DIPHENYL-7H-PYRROLO[2,3-D]PYRIMIDIN-4-YL)AMINO]PROPAN-2-OL",target,gene/protein,33,1111,CHEK1,NCBI
7297,DB07750,"(2R)-1-[4-({4-[(2,5-Dichlorophenyl)amino]-2-pyrimidinyl}amino)phenoxy]-3-(dimethylamino)-2-propanol",target,gene/protein,14,1017,CDK2,NCBI
7300,DB07761,"(2R)-1-[4-({6-[(2,6-Difluorophenyl)amino]-4-pyrimidinyl}amino)phenoxy]-3-(dimethylamino)-2-propanol",target,gene/protein,14,1017,CDK2,NCBI
7278,DB07504,(2R)-1-{4-[(4-Anilino-5-bromo-2-pyrimidinyl)amino]phenoxy}-3-(dimethylamino)-2-propanol,target,gene/protein,14,1017,CDK2,NCBI
8361,DB04244,(2R)-2-(3-Biphenylyl)-N-{(2R)-2-hydroxy-3-[(2-pyridinylsulfonyl)amino]propyl}-4-methylpentanamide,target,gene/protein,1103,1513,CTSK,NCBI
8592,DB07860,(2R)-2-(4-CHLOROPHENYL)-2-PHENYLETHANAMINE,target,gene/protein,2687,5569,PKIA,NCBI
8592,DB07860,(2R)-2-(4-CHLOROPHENYL)-2-PHENYLETHANAMINE,target,gene/protein,176,5566,PRKACA,NCBI
8590,DB07857,(2R)-2-(4-chlorophenyl)-2-[4-(1H-pyrazol-4-yl)phenyl]ethanamine,target,gene/protein,2687,5569,PKIA,NCBI
8590,DB07857,(2R)-2-(4-chlorophenyl)-2-[4-(1H-pyrazol-4-yl)phenyl]ethanamine,target,gene/protein,176,5566,PRKACA,NCBI
4923,DB07211,(2R)-2-(5-CHLORO-2-THIENYL)-N-{(3S)-1-[(1S)-1-METHYL-2-MORPHOLIN-4-YL-2-OXOETHYL]-2-OXOPYRROLIDIN-3-YL}PROPENE-1-SULFONAMIDE,target,gene/protein,583,2159,F10,NCBI
4923,DB07211,(2R)-2-(5-CHLORO-2-THIENYL)-N-{(3S)-1-[(1S)-1-METHYL-2-MORPHOLIN-4-YL-2-OXOETHYL]-2-OXOPYRROLIDIN-3-YL}PROPENE-1-SULFONAMIDE,target,gene/protein,9,2147,F2,NCBI
4833,DB04776,(2R)-2-({6-[benzyl(methyl)amino]-9-isopropyl-9H-purin-2-yl}amino)butan-1-ol,target,gene/protein,2566,8566,PDXK,NCBI
7337,DB08463,(2R)-2-({9-(1-methylethyl)-6-[(4-pyridin-2-ylbenzyl)amino]-9H-purin-2-yl}amino)butan-1-ol,target,gene/protein,70,890,CCNA2,NCBI
7337,DB08463,(2R)-2-({9-(1-methylethyl)-6-[(4-pyridin-2-ylbenzyl)amino]-9H-purin-2-yl}amino)butan-1-ol,target,gene/protein,14,1017,CDK2,NCBI
4984,DB07246,"(2R)-2-AMINO-3,3,3-TRIFLUORO-N-HYDROXY-2-{[(4-PHENOXYPHENYL)SULFONYL]METHYL}PROPANAMIDE",target,gene/protein,917,4318,MMP9,NCBI
7757,DB04112,(2R)-2-Acetamido-3-(octadecyloxy)propyl 2-(methylsulfanyl)ethyl hydrogen phosphate,target,gene/protein,2166,5320,PLA2G2A,NCBI
8546,DB06924,(2R)-2-benzyl-3-nitropropanoic acid,target,gene/protein,11641,1357,CPA1,NCBI
7332,DB08285,"(2R)-2-{[4-(benzylamino)-8-(1-methylethyl)pyrazolo[1,5-a][1,3,5]triazin-2-yl]amino}butan-1-ol",target,gene/protein,70,890,CCNA2,NCBI
7332,DB08285,"(2R)-2-{[4-(benzylamino)-8-(1-methylethyl)pyrazolo[1,5-a][1,3,5]triazin-2-yl]amino}butan-1-ol",target,gene/protein,14,1017,CDK2,NCBI
8366,DB07592,(2R)-3-Methyl-1-phenyl-2-butanyl [(2S)-1-oxo-2-hexanyl]carbamate,target,gene/protein,1103,1513,CTSK,NCBI
8312,DB07648,"(2R)-3-{[(4Z)-5,6-DIPHENYL-6,7-DIHYDRO-4H-PYRROLO[2,3-D]PYRIMIDIN-4-YLIDENE]AMINO}PROPANE-1,2-DIOL",target,gene/protein,33,1111,CHEK1,NCBI
8570,DB08007,(2R)-3-{[(BENZYLAMINO)CARBONYL]AMINO}-2-HYDROXYPROPANOIC ACID,target,gene/protein,1209,1990,CELA1,NCBI
8282,DB04683,"(2R)-3-{[{[(2S)-2,3-DIHYDROXYPROPYL]OXY}(HYDROXY)PHOSPHORYL]OXY}-2-[(9E)-HEXADEC-9-ENOYLOXY]PROPYL (9E)-OCTADEC-9-ENOATE",target,gene/protein,179,2516,NR5A1,NCBI
8548,DB07484,"(2R)-4,4-dihydroxy-5-nitro-2-(phenylmethyl)pentanoic acid",target,gene/protein,11641,1357,CPA1,NCBI
6717,DB08051,"(2R)-4-(2-BENZOYL-1,2-DIAZEPAN-1-YL)-4-OXO-1-(2,4,5-TRIFLUOROPHENYL)BUTAN-2-AMINE",target,gene/protein,1499,1803,DPP4,NCBI
6698,DB07081,"(2R)-4-[(8R)-8-METHYL-2-(TRIFLUOROMETHYL)-5,6-DIHYDRO[1,2,4]TRIAZOLO[1,5-A]PYRAZIN-7(8H)-YL]-4-OXO-1-(2,4,5-TRIFLUOROPHENYL)BUTAN-2-AMINE",target,gene/protein,1499,1803,DPP4,NCBI
8555,DB07145,(2R)-N-HYDROXY-2-[(3S)-3-METHYL-3-{4-[(2-METHYLQUINOLIN-4-YL)METHOXY]PHENYL}-2-OXOPYRROLIDIN-1-YL]PROPANAMIDE,target,gene/protein,987,6868,ADAM17,NCBI
6710,DB07482,(2R)-N-[(2R)-2-(DIHYDROXYBORYL)-1-L-PROLYLPYRROLIDIN-2-YL]-N-[(5R)-5-(DIHYDROXYBORYL)-1-L-PROLYLPYRROLIDIN-2-YL]-L-PROLINAMIDE,target,gene/protein,1499,1803,DPP4,NCBI
8811,DB08609,"(2R)-N-{4-[Ethyl(phenyl)sulfamoyl]-2-methylphenyl}-3,3,3-trifluoro-2-hydroxy-2-methylpropanamide",target,gene/protein,586,5164,PDK2,NCBI
8517,DB06837,"(2R)-N~4~-hydroxy-2-(3-hydroxybenzyl)-N~1~-[(1S,2R)-2-hydroxy-2,3-dihydro-1H-inden-1-yl]butanediamide",target,gene/protein,10741,11096,ADAMTS5,NCBI
7391,DB03390,"(2R,3R)-2,3-Dihydroxy-4-oxo-4-(propylamino)butanoic acid",target,gene/protein,714,55,ACP3,NCBI
6703,DB07193,"(2R,3R)-7-(methylsulfonyl)-3-(2,4,5-trifluorophenyl)-1,2,3,4-tetrahydropyrido[1,2-a]benzimidazol-2-amine",target,gene/protein,1499,1803,DPP4,NCBI
8701,DB08733,"(2R,3R)-N^1^-[(1S)-2,2-DIMETHYL-1-(METHYLCARBAMOYL)PROPYL]-N^4^-HYDROXY-2-(2-METHYLPROPYL)-3-{[(1,3-THIAZOL-2-YLCARBONYL)AMINO]METHYL}BUTANEDIAMIDE",target,gene/protein,11557,10863,ADAM28,NCBI
7010,DB08283,"(2R,3R,4R,5S)-2-(HYDROXYMETHYL)-1-NONYLPIPERIDINE-3,4,5-TRIOL",target,gene/protein,460,2629,GBA,NCBI
5174,DB07567,"(2R,3R,4S)-3-(4-HYDROXYPHENYL)-4-METHYL-2-[4-(2-PYRROLIDIN-1-YLETHOXY)PHENYL]CHROMAN-6-OL",target,gene/protein,101,2099,ESR1,NCBI
8630,DB07045,"(2R,3R,4S,5R)-2-[6-amino-8-[(3,4-dichlorophenyl)methylamino]purin-9-yl]-5-(hydroxymethyl)oxolane-3,4-diol",target,gene/protein,898,573,BAG1,NCBI
8630,DB07045,"(2R,3R,4S,5R)-2-[6-amino-8-[(3,4-dichlorophenyl)methylamino]purin-9-yl]-5-(hydroxymethyl)oxolane-3,4-diol",target,gene/protein,303,3312,HSPA8,NCBI
7476,DB03861,"(2R,3R,4S,5R)-2-acetamido-3,4-dihydroxy-5-hydroxymethyl-piperidine",target,gene/protein,1730,3074,HEXB,NCBI
7476,DB03861,"(2R,3R,4S,5R)-2-acetamido-3,4-dihydroxy-5-hydroxymethyl-piperidine",target,gene/protein,12378,10242,KCNMB2,NCBI
7719,DB03396,"(2R,3R,4S,5R,6E)-3,4,5-Trihydroxy-N-[(3S,6R)-6-hydroxy-2-oxo-3-azepanyl]-2-methoxy-8,8-dimethyl-6-nonenamide",target,gene/protein,871,10988,METAP2,NCBI
5794,DB08642,"(2R,6S)-6-{[methyl(3,4,5-trimethoxyphenyl)amino]methyl}-1,2,5,6,7,8-hexahydroquinazoline-2,4-diamine",target,gene/protein,1713,1719,DHFR,NCBI
8466,DB07899,(2S) N-acetyl-L-alanyl-αL-phenylalanyl-chloroethylketone,target,gene/protein,2094,1504,CTRB1,NCBI
7638,DB08022,"(2S)-1,3-benzothiazol-2-yl{2-[(2-pyridin-3-ylethyl)amino]pyrimidin-4-yl}ethanenitrile",target,gene/protein,486,5292,PIM1,NCBI
7224,DB08073,(2S)-1-(1H-INDOL-3-YL)-3-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}PROPAN-2-AMINE,target,gene/protein,891,208,AKT2,NCBI
7224,DB08073,(2S)-1-(1H-INDOL-3-YL)-3-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}PROPAN-2-AMINE,target,gene/protein,11,2932,GSK3B,NCBI
7224,DB08073,(2S)-1-(1H-INDOL-3-YL)-3-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}PROPAN-2-AMINE,target,gene/protein,2687,5569,PKIA,NCBI
7224,DB08073,(2S)-1-(1H-INDOL-3-YL)-3-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}PROPAN-2-AMINE,target,gene/protein,176,5566,PRKACA,NCBI
7036,DB07573,"(2S)-1-(2,5-dimethylphenoxy)-3-morpholin-4-ylpropan-2-ol",target,gene/protein,1487,23621,BACE1,NCBI
8579,DB06959,(2S)-1-(3H-Indol-3-yl)-3-{[5-(6-isoquinolinyl)-3-pyridinyl]oxy}-2-propanamine,target,gene/protein,2687,5569,PKIA,NCBI
8579,DB06959,(2S)-1-(3H-Indol-3-yl)-3-{[5-(6-isoquinolinyl)-3-pyridinyl]oxy}-2-propanamine,target,gene/protein,176,5566,PRKACA,NCBI
8582,DB07124,"(2S)-1-(6H-INDOL-3-YL)-3-{[5-(7H-PYRAZOLO[3,4-C]PYRIDIN-5-YL)PYRIDIN-3-YL]OXY}PROPAN-2-AMINE",target,gene/protein,176,5566,PRKACA,NCBI
7304,DB07889,"(2S)-1-(Dimethylamino)-3-(4-{[4-(2-methylimidazo[1,2-a]pyridin-3-yl)-2-pyrimidinyl]amino}phenoxy)-2-propanol",target,gene/protein,14,1017,CDK2,NCBI
8299,DB07037,(2S)-1-AMINO-3-[(5-NITROQUINOLIN-8-YL)AMINO]PROPAN-2-OL,target,gene/protein,33,1111,CHEK1,NCBI
7299,DB07755,"(2S)-1-[4-({4-[(2,5-Dichlorophenyl)amino]-2-pyrimidinyl}amino)phenoxy]-3-(dimethylamino)-2-propanol",target,gene/protein,14,1017,CDK2,NCBI
7298,DB07751,"(2S)-1-[4-({6-[(2,6-Difluorophenyl)amino]-4-pyrimidinyl}amino)phenoxy]-3-(dimethylamino)-2-propanol",target,gene/protein,14,1017,CDK2,NCBI
7277,DB07501,(2S)-1-{4-[(4-Anilino-5-bromo-2-pyrimidinyl)amino]phenoxy}-3-(dimethylamino)-2-propanol,target,gene/protein,14,1017,CDK2,NCBI
8580,DB06977,(2S)-1-{[5-(1H-Indazol-5-yl)-3-pyridinyl]oxy}-3-(7aH-indol-3-yl)-2-propanamine,target,gene/protein,176,5566,PRKACA,NCBI
